iteration,scheduler,total_time_ms,task_failures,capability_match_score,cpu_utilization_pct
1,Round_Robin_Baseline,110.90996052265771,1,0.5906003730130452,46.176842690745055
2,Round_Robin_Baseline,109.90311332607325,1,0.5630203160161108,50.51217460673401
3,Round_Robin_Baseline,102.66319725162501,2,0.628017532483347,56.093977477233096
4,Round_Robin_Baseline,119.19719248969805,2,0.6186498754766252,57.96505940293534
5,Round_Robin_Baseline,123.57456733884483,1,0.5730572781971637,47.0040502494583
6,Round_Robin_Baseline,114.63848803768884,2,0.5661290011510512,54.84548492007811
7,Round_Robin_Baseline,106.04968177757324,2,0.6884236248944355,57.62738821451636
8,Round_Robin_Baseline,106.14851347918213,1,0.633966806583158,45.787345094658704
9,Round_Robin_Baseline,98.30262996237519,0,0.5894949635689358,45.886314670933906
10,Round_Robin_Baseline,96.48875247998818,2,0.5782404633883326,51.97206881646519
1,CogMesh_Capability_Constrained,47.12244483656494,0,0.992655980045208,25.205965962375164
2,CogMesh_Capability_Constrained,48.67226543972687,0,0.9893418293368461,24.85435435816685
3,CogMesh_Capability_Constrained,50.819314815907134,0,0.9736010346342417,27.427146790654902
4,CogMesh_Capability_Constrained,45.57901248090841,0,0.9733196579263015,25.342737657394228
5,CogMesh_Capability_Constrained,43.801273099528316,0,0.9576567604594017,22.053615935262737
6,CogMesh_Capability_Constrained,46.918938732612794,0,0.9994969842516657,29.008168040378884
7,CogMesh_Capability_Constrained,51.410808549128596,0,0.9505254691424508,25.783763986733483
8,CogMesh_Capability_Constrained,51.56352718695809,0,0.9968518438084095,27.860077576363068
9,CogMesh_Capability_Constrained,51.048326722669664,0,0.9646434177637548,29.630928844883428
10,CogMesh_Capability_Constrained,45.451302279977746,0,0.9547292569187307,22.88332400433875
